Název provozovatele,B/H - IČ provozovatele (u fyzické osoby pokud bylo přiděleno),C/CH - sídlo/adresa; místo trvalého pobytu fyz. osoby - ulice,C/CH - sídlo/adresa; místo trvalého pobytu fyz. osoby - PSČ,C/CH - sídlo/adresa; místo trvalého pobytu fyz. osoby - obec,C/CH - sídlo/adresa; místo trvalého pobytu fyz. osoby - okres,C/CH - sídlo/adresa; místo trvalého pobytu fyz. osoby - kraj,"C/CH - datová schránka, má-li ji subjekt zřízenou",D - předmět činnosti,E - právní forma,G - datum narození provozovatele - fyzické osoby,I - NÁZEV KNIHOVNY,R - EVIDENČNÍ ČÍSLO KNIHOVNY,J - druh knihovny,Kategorie - pomocný sloupec,K - adresa knihovny: ulice,K - adresa knihovny: PSČ,K - adresa knihovny: město,K - adresa knihovny: okres,K - adresa knihovny: kraj,M - emailový kontakt na autora záznamu,N - e-mailový kontakt na knihovnu,"O - odkaz na webovou stránku knihovny, respektive odkaz na informace o knihovně na webových stránkách provozovatele",P - provozní doba knihovny,Q - další informace,X - sigla,S - datum vytvoření záznamu,T - datum evidence knihovny,XXT - schvalovatel záznamu,U - datum aktualizace záznamu,XXU - schvalovatel aktualizace záznamu,aktivní / zrušená (vyřazená z evidence),V - datum vyřazení,XXV - vyřadil z evidence,W - důvod vyřazení z evidence,Y - číslo jednací,Poznámka
Obec Plchov,640473,Plchov 64,273 75,Plchov,Kladno,Středočeský,,obecní úřad,,,Místní lidová knihovna v Plchově,3519,základní,public,Plchov 64,273 75,Plchov,Kladno,Středočeský,, ,,,, ,2003-11-06,2003-01-07 00:00:00,Čermáková,,,A,, ,,k 21059/2002,
Obec Třebohostice,251933,Třebohostice 8,387 37,Třebohostice,Strakonice,Jihočeský,,obecní úřad,,,Místní lidová knihovna Třebohostice,3520,základní,public,Třebohostice 20,387 37,Třebohostice,Strakonice,Jihočeský,, ,,,, ,2003-11-06,2003-01-07 00:00:00,Čermáková,2023-02-23 00:00:00,St. Firstová,A,, ,,"k 21058/2002, 12894/2023",
Obec Paceřice,671967,Paceřice 100,463 44,Paceřice,Liberec,Liberecký,,obecní úřad,,,Obecní knihovna Paceřice,3521,základní,public,Paceřice 22,463 44,Paceřice,Liberec,Liberecký,, ,,,, ,2003-11-06,2003-01-07 00:00:00,Čermáková,,,A,, ,,k 21055/2002,
Obec Vítkovice,276260,Vítkovice,512 38,Vítkovice,Semily,Liberecký,,obecní úřad,,,Místní knihovna ve Vítkovicích,3522,základní,public,Vítkovice,512 38,Vítkovice,Semily,Liberecký,,,,,,,2003-11-06,2003-01-07 00:00:00,Čermáková,,,V,2016-02-29 00:00:00,M. Fojtík,,k 21035/2002,"Vyřazena z evidence, knihovna zrušena"
Obec Přechovice,667781,Přechovice 7,387 01,Volyně,Strakonice,Jihočeský,,obecní úřad,,,Místní knihovna Přechovice,3523,základní,public,Přechovice 7,387 01,Volyně,Strakonice,Jihočeský,,,,,,,2003-11-06,2003-01-07 00:00:00,Čermáková,,,V,2024-12-02 00:00:00,P. Doležalová,,"k 21033/2002, MK 89983/2024 OUKKO","Vyřazena z evidence, knihovna zrušena"
Obec Přední Výtoň,246085,Přední Výtoň,382 79,Frymburk nad Vltavou,Český Krumlov,jihočeský,,obecní úřad,,,Obecní knihovna Přední Výtoň,3524,základní,public,Přední Výtoň 35,382 79,Frymburk nad Vltavou,Český Krumlov,jihočeský,,,,,,,2003-11-06,2003-01-07 00:00:00,Čermáková,,,A,, ,,k 21032/2002,
Obec Bílá,262668,Bílá 76,463 43,Český Dub,Liberec,Liberecký,,obecní úřad,,,Obecní knihovna Bílá,3525,základní,public,Bílá 9,463 43,Český Dub,Liberec,Liberecký,,,,,,,2003-11-06,2003-01-07 00:00:00,Čermáková,,,A,, ,,k 21051/2002,
Obec Bílá,262668,Bílá 76,463 43,Český Dub,Liberec,Liberecký,,obecní úřad,,,Obecní knihovna Hradčany,3526,základní,public,Bílá-Hradčany,463 43,Český Dub,Liberec,Liberecký,,,,,,,2003-11-06,2003-01-07 00:00:00,Čermáková,,,V,2013-11-30 00:00:00,M. Fojtík,,k 21051/2002,"Vyřazena z evidence, knihovna zrušena"
Obec Bílá,262668,Bílá 76,463 43,Český Dub,Liberec,Liberecký,,obecní úřad,,,Obecní knihovna Vlčetín,3527,základní,public,Bílá-Vlčetín,463 43,Český Dub,Liberec,Liberecký,,,,,,,2003-11-06,2003-01-07 00:00:00,Čermáková,,,V,2013-11-30 00:00:00,M. Fojtík,,k 21051/2002,"Vyřazena z evidence, knihovna zrušena"
Obec Bílá,262668,Bílá 76,463 43,Český Dub,Liberec,Liberecký,,obecní úřad,,,Obecni knihovna Petrašovice,3528,základní,public,Bílá-Petrašovice,463 43,Český Dub,Liberec,Liberecký,,,,,,,2003-11-06,2003-01-07 00:00:00,Čermáková,,,V,2013-11-30 00:00:00,M. Fojtík,,k 21051/2002,"Vyřazena z evidence, knihovna zrušena"
Město Smržovka,262579,nám. T. G. Masaryka 600,468 51,Smržovka,Jablonec nad Nisou,Liberecký,,městský úřad,,,Městská knihovna a infocentrum Smržovka,3529,základní,public,nám. T. G. Masaryka 638,468 51,Smržovka,Jablonec nad Nisou,Liberecký,, ,, ,,JNG507,2003-11-06,2003-01-07 00:00:00,Čermáková,2010-02-09 00:00:00,St. Firstová,A,,,,k 21014/2002,
Městys Heraltice,376833,Heraltice 78,675 21,Heraltice,Třebíč,Vysočina,,obecní úřad,,,Místní knihovna v Heralticích,3530,základní,public,Heraltice 78,675 21,Heraltice,Třebíč,Vysočina,, ,,16.30-18.30 ,, ,2003-11-06,2003-01-07 00:00:00,Čermáková,2008-02-11 00:00:00,St. Firstová,A,,,,k 21002/2002,
Obec Milý,639923,Milý 2,270 54,Řevničov,Rakovník,Středočeský,,obecní úřad,,,Obecní knihovna v Milém,3531,základní,public,Milý 2,270 54,Řevničov,Rakovník,Středočeský,,,, ,, ,2003-11-06,2003-01-07 00:00:00,Čermáková,,,V,2023-04-03 00:00:00,St. Firstová,,"k 20999/2002, 22395/2023","Vyřazena z evidence, knihovna zrušena"
Obec Kolešovice,243884,Kolešovice 212,270 02,Kolešovice,Rakovník,Středočeský,,obecní úřad,,,Obecní knihovna v Kolešovicích,3532,základní,public,Kolešovice 6,270 02,Kolešovice,Rakovník,Středočeský,, ,, ,, ,2003-11-06,2003-01-07 00:00:00,Čermáková,,,A,, ,,k 20997/2002,
Obec Poniklá,276006,Poniklá,512 42,Poniklá,Semily,Liberecký,,obecní úřad,,,Místní knihovna Poniklá,3533,základní,public,Poniklá,512 42,Poniklá,Semily,Liberecký,, ,, ,, ,2003-11-06,2003-01-07 00:00:00,Čermáková,,,A,, ,,k 20990/2002,
Obec Oplot,574147,Oplot 69,334 01,Oplot,Plzeň-jih,Plzeňský,,obecní úřad,,,Místní knihovna v Oplotě,3534,základní,public,Oplot 69,334 01,Oplot,Plzeň-jih,Plzeňský,, ,, ,, ,2003-11-06,2003-01-07 00:00:00,Čermáková,,,A,, ,,k 20988/2002,
Obec Jindřichovice pod Smrkem,672025,Jindřichovice pod Smrkem 245,463 66,Jindřichovice pod Smrkem,Liberec,Liberecký,,obecní úřad,,,Obecní knihovna v Jindřichovicích pod Smrkem,3535,základní,public,Jindřichovice pod Smrkem 353,463 66,Jindřichovice pod Smrkem,Liberec,Liberecký,, ,http://knihovnajindrichovice.wz.cz, ,, ,2003-11-06,2003-01-07 00:00:00,Čermáková,,,A,, ,,k 20934/2002,
Obec Smilkov,232688,Smilkov 46,257 89,Heřmaničky,Benešov,Středočeský,,obecní úřad,,,Obecní knihovna Smilkov,3536,základní,public,Smilkov 46,257 89,Heřmaničky,Benešov,Středočeský,, ,, ,, ,2003-11-06,2003-01-07 00:00:00,Čermáková,,,A,, ,,k 20933/2002,
Obec Pozďatín,378356,Pozďatín 75,675 03,Pozďatín,Třebíč,Vysočina,,obecní úřad,,,Místní knihovna v Pozďatíně,3537,základní,public,Pozďatín 75,675 03,Pozďatín,Třebíč,Vysočina,, ,, ,, ,2003-11-06,2003-01-07 00:00:00,Čermáková,,,A,, ,,k 20946/2002,
Obec Petkovy,238414,Petkovy,294 04,Dolní Bousov,Mladá Boleslav,Středočeský,,obecní úřad,,,Místní knihovna Petkovy,3538,základní,public,Petkovy,294 04,Dolní Bousov,Mladá Boleslav,Středočeský,, ,, ,, ,2003-11-06,2003-01-07 00:00:00,Čermáková,,,A,, ,,k 20945/2002,
Obec Krumvíř,283282,Krumvíř 184,691 73,Krumvíř,Břeclav,Jihomoravský,,obecní úřad,,,Obecní knihovna Krumvíř,3539,základní,public,Krumvíř 184,691 73,Krumvíř,Břeclav,Jihomoravský,, ,www.knihovna.krumvir.web.cz, ,, ,2003-11-06,2003-01-07 00:00:00,Čermáková,,,A,, ,,k 20970/2002,
"Ústav přístrojové techniky Akademie věd ČR, v.v.i.",68081731,Královopolská 147,612 64,Brno,Brno-město,Jihomoravský,,vědecký výzkum v oblasti fyzikálních vlastností hmoty,,,"Knihovna Ústavu přístrojové techniky AV ČR, v.v.i.",3540,základní se specializovaným knihovním fondem,AV,Královopolská 147,612 64,Brno,Brno-město,Jihomoravský,, ,, ,,BOB012,2003-11-06,2003-01-07 00:00:00,Čermáková,2007-07-20 00:00:00,St. Firstová,A,,,,k 21011/2002,
Nemocnice s poliklinikou Přerov,44888830,Dvořákova 75,751 52,Přerov,Přerov,Olomoucký,,poskytování zdravotnické péče,,,Lékařská knihovna Nemocnice s poliklinikou Přerov,3541,specializovaná,,Dvořákova 75,751 52,Přerov,Přerov,Olomoucký,, ,, ,,PRE201,2003-11-06,2003-01-07 00:00:00,Čermáková,,,V,2008-04-30 00:00:00,St. Firstová,,k 21010/2002,"Vyřazena z evidence, knihovna zrušena"
Město Němčice nad Hanou,288497,Palackého nám. 3,798 27,Němčice nad Hanou,Prostějov,Olomoucký,,zajišťování kulturních hodnot a aktivit,,,Městská knihovna v Němčicích nad Hanou,3542,základní,public,Trávnická 201,798 27,Němčice nad Hanou,Prostějov,Olomoucký,, ,,"10.00-12.00, 13.00-17.00 - 10.00-12.00, 13.00-19.00 - 10.00-12.00, 13.00-18.00 ",,PVG503,2003-11-06,2003-01-07 00:00:00,Čermáková,2006-04-14 00:00:00,St. Firstová,A,,,,k 20992/2002,
Městské kulturní a informační středisko v Humpolci,69538549,Horní náměstí 273,396 01,Humpolec,Havlíčkův Brod,Vysočina,,zajišťování kulturních hodnot a aktivit,,,Knihovna Muzea Dr. Aleše Hrdličky v Humpolci,3543,základní se specializovaným knihovním fondem,muzejní,Horní náměstí 273,396 01,Humpolec,Havlíčkův Brod,Vysočina,, ,,"8.00-11.00, 13.00-16.00 - 8.00-11.00, 13.00-17.00 - 8.00-11.00, 13.00-16.00 - 8.00-11.00, 13.00-16.00 ",, ,2003-11-06,2003-01-07 00:00:00,Čermáková,2008-01-02 00:00:00,St. Firstová,A,,,,k 20986/2002,
"Městská knihovna Bohumín, příspěvková organizace",847593,Vrchlického 262,735 81,Bohumín,Karviná,Moravskoslezský,,poskytování veřejných knihovnických a informačních služeb,,,"Městská knihovna Bohumín, příspěvková organizace",3544,základní,public,Vrchlického 262,735 81,Bohumín,Karviná,Moravskoslezský,,knihovna@knih-bohumin.cz,, ,,KAG505,2003-11-06,2003-01-07 00:00:00,Čermáková,,,A,, ,,k 21008/2002,
Muzeum a galerie Orlických hor v Rychnově nad Kněžnou,371149,Jiráskova 2,516 01,Rychnov nad Kněžnou,Rychnov nad Kněžnou,Královéhradecký,,"uchování, zpracování a zpřístupňování sbírek muzejní povahy",,,Knihovna Muzea a galerie Orlických hor v Rychnově nad Kněžnou,3545,základní se specializovaným knihovním fondem,muzejní,Jiráskova 2,516 01,Rychnov nad Kněžnou,Rychnov nad Kněžnou,Královéhradecký,, ,, ,,RKG002,2003-11-06,2003-01-07 00:00:00,Čermáková,2003-09-23 00:00:00,Čermáková,A,,,,k 21075/2002,
Obec Kožichovice,48527416,Kožichovice 36,674 01,Třebíč,Třebíč,Vysočina,,obecní úřad,,,Obecní knihovna Kožichovice,3546,základní,public,Kožichovice 36,674 01,Třebíč,Třebíč,Vysočina,, ,, ,, ,2003-11-06,2003-01-07 00:00:00,Čermáková,,,A,, ,,k 21000/2002,
Obec Dolní Studénky,635936,Dolní Studénky 99,788 20,Dolní Studénky,Šumperk,Olomoucký,,obecní úřad,,,Místní knihovna v Dolních Studénkách,3547,základní,public,Dolní Studénky 99,788 20,Dolní Studénky,Šumperk,Olomoucký,, ,, ,, ,2003-11-06,2003-01-07 00:00:00,Čermáková,,,A,, ,,k 20948/2002,
Obec Velký Rybník,515931,Velký Rybník 58,393 01,Pelhřimov,Pelhřimov,Vysočina,,obecní úřad,,,Místní knihovna Velký Rybník,3548,základní,public,Velký Rybník 58,393 01,Pelhřimov,Pelhřimov,Vysočina,, ,, ,, ,2003-11-06,2003-01-07 00:00:00,Čermáková,,,A,, ,,k 21041/2002,
Obec Rapotice,290335,Rapotice 55,675 73,Rapotice,Třebíč,Vysočina,,obecní úřad,,,Obecní knihovna v Rapoticích,3549,základní,public,Rapotice 55,675 73,Rapotice,Třebíč,Vysočina,, ,, ,, ,2003-11-06,2003-01-07 00:00:00,Čermáková,,,A,, ,,k 21040/2002,
Obec Mikulovice,273961,Valčíkova 52,530 02,Pardubice,Pardubice,Pardubický,,obecní úřad,,,Obecní knihovna v Mikulovicích,3550,základní,public,Valčíkova 52,530 02,Pardubice,Pardubice,Pardubický,, ,, ,, ,2003-11-06,2003-01-07 00:00:00,Čermáková,,,A,, ,,k 21078/2002,
Obec Mikulovice,273961,Valčíkova 52,530 02,Pardubice,Pardubice,Pardubický,,obecní úřad,,,Obecní knihovna v Blatě,3551,základní,public,Blato,530 02,Pardubice,Pardubice,Pardubický,, ,, ,, ,2003-11-06,2003-01-07 00:00:00,Čermáková,,,A,, ,,k 21078/2002,
Obec Řečany nad Labem,274208,1. máje 66,533 13,Řečany nad Labem,Pardubice,Pardubický,,obecní úřad,,,Obecní knihovna Řečany nad Labem,3552,základní,public,1. máje 66,533 13,Řečany nad Labem,Pardubice,Pardubický,, ,, ,,PAG508,2003-11-06,2003-01-07 00:00:00,Čermáková,,,A,, ,,k 21067/2002,
Obec Hrčava,296732,Hrčava 53,739 98,Mosty u Jablunkova,Frýdek-Místek,Moravskoslezský,,obecní úřad,,,Obecní knihovna Hrčava,3553,základní,public,Hrčava 85,739 98,Mosty u Jablunkova,Frýdek-Místek,Moravskoslezský,, ,, ,, ,2003-11-06,2003-01-07 00:00:00,Čermáková,,,A,, ,,k 21057/2002,
Obec Olešenka,267970,Olešenka,582 22,Přibyslav,Havlíčkův Brod,Vysočina,,obecní úřad,,,Obecní knihovna v Olešence,3554,základní,public,Olešenka 42,582 22,Přibyslav,Havlíčkův Brod,Vysočina,, ,, ,, ,2003-11-06,2003-01-07 00:00:00,Čermáková,,,A,, ,,k 21056/2002,
Obec Hodějice,291773,Hodějice,684 01,Slavkov u Brna,Vyškov,Jihomoravský,,obecní úřad,,,Místní knihovna Hodějice,3555,základní,public,Hodějice,684 01,Slavkov u Brna,Vyškov,Jihomoravský,, ,, ,, ,2003-11-06,2003-01-07 00:00:00,Čermáková,,,A,, ,,k 21030/2002,
Obec Oskava,303101,Oskava 112,788 01,Oskava,Šumperk,Olomoucký,,obecní úřad,,,Místní knihovna v Oskavě,3556,základní,public,Oskava 30,788 01,Oskava,Šumperk,Olomoucký,, ,, ,, ,2003-11-06,2003-01-07 00:00:00,Čermáková,,,A,, ,,k 21034/2002,
Obec Lidmaň,583481,Lidmaň 94,394 94,Černovice,Pelhřimov,Vysočina,,obecní úřad,,,Obecní knihovna Lidmaň,3557,základní,public,Lidmaň 94,394 94,Černovice,Pelhřimov,Vysočina,, ,, ,, ,2003-11-06,2003-01-07 00:00:00,Čermáková,,,A,, ,,k 21031/2002,
Obec Nová Ves,545651,Nová Ves 11,675 21,Okříšky,Třebíč,Vysočina,,obecní úřad,,,Místní lidová knihovna Nová Ves,3558,základní,public,Nová Ves 11,675 21,Okříšky,Třebíč,Vysočina,, ,,"19.00-20.00 (letní obd.), 18.00-19.00 (zimní obd.) ",, ,2003-11-06,2003-01-07 00:00:00,Čermáková,,,A,, ,,k 21039/2002,
Obec Hejnice,278831,Hejnice 66,564 01,Žamberk,Ústí nad Orlicí,Pardubický,,obecní úřad,,,Místní lidová knihovna a Veřejná internetová stanice Hejnice,3559,základní,public,Hejnice 66,564 01,Žamberk,Ústí nad Orlicí,Pardubický,, ,http://www.obec-chlumcany.cz/knihovna/, ,, ,2003-11-06,2003-01-07 00:00:00,Čermáková,,,A,, ,,k 21013/2002,
Obec Pustiměř,292231,Pustiměřské Prusy 79,683 21,Pustiměř,Vyškov,Jihomoravský,,obecní úřad,,,Obecní knihovna Pustiměř,3560,základní,public,Pustiměř 166,683 21,Pustiměř,Vyškov,Jihomoravský,, ,, ,,VYG509,2003-11-06,2003-01-07 00:00:00,Čermáková,2023-11-20 00:00:00,A. Matoušová,A,, ,,"k 21012/2002, MK 44448/2023",
Obec Suchdol nad Odrou,298450,Komenského 318,742 01,Suchdol nad Odrou,Nový Jičín,Moravskoslezský,,obecní úřad,,,Místní knihovna Suchdol nad Odrou,3561,základní,public,Komenského 230,742 01,Suchdol nad Odrou,Nový Jičín,Moravskoslezský,, ,,17.00-19.00 - 17.00-19.00 ,, ,2003-11-06,2003-01-07 00:00:00,Čermáková,,,A,, ,,k 21007/2002,
Obec Nemile,635871,Nemile 93,789 01,Nemile,Šumperk,Olomoucký,,obecní úřad,,,Místní knihovna v Nemili,3562,základní,public,Nemile 93,789 01,Nemile,Šumperk,Olomoucký,, ,, ,, ,2003-11-06,2003-01-07 00:00:00,Čermáková,,,A,, ,,k 21003/2002,
Obec Prlov,304212,Prlov 141,756 13,Prlov,Vsetín,Zlínský,,obecní úřad,,,Obecní knihovna Prlov,3563,základní,public,Prlov 141,756 13,Prlov,Vsetín,Zlínský,, ,, ,, ,2003-11-06,2003-01-07 00:00:00,Čermáková,,,A,, ,,k 20989/2002,
Obec Zámrsky,600881,Zámrsky,753 01,Hranice,Přerov,Olomoucký,,obecní úřad,,,Obecní knihovna Zámrsky,3564,základní,public,Zámrsky 69,753 01,Hranice,Přerov,Olomoucký,, ,, ,, ,2003-11-06,2003-01-07 00:00:00,Čermáková,,,A,, ,,k 20998/2002,
Obec Ježovy,573540,Ježovy,340 12,Švihov,Klatovy,Plzeňský,,obecní úřad,,,Obecní knihovna Ježovy,3565,základní,public,Ježovy 52,340 12,Švihov,Klatovy,Plzeňský,, ,, ,, ,2003-11-06,2003-01-07 00:00:00,Čermáková,,,A,, ,,k 20395/2002,
Obec Staré Křečany,261653,Staré Křečany 38,407 61,Staré Křečany,Děčín,Ústecký,,obecní úřad,,,Obecní knihovna Staré Křečany,3566,základní,public,Staré Křečany 38,407 61,Staré Křečany,Děčín,Ústecký,, ,, ,, ,2003-11-06,2003-01-07 00:00:00,Čermáková,,,A,, ,,k 20943/2002,
Obec Staré Křečany,261653,Staré Křečany 38,407 61,Staré Křečany,Děčín,Ústecký,,obecní úřad,,,Obecní knihovna Brtníky,3567,základní,public,Brtníky 6,407 61,Staré Křečany,Děčín,Ústecký,, ,, ,, ,2003-11-06,2003-01-07 00:00:00,Čermáková,,,V,2004-07-01 00:00:00,Čermáková,,k 20943/2002,"Vyřazena z evidence, knihovna zrušena"
Obec Šestajovice,529991,Šestajovice 70,551 01,Jaroměř,Náchod,Královéhradecký,,obecní úřad,,,Obecní knihovna v Šestajovicích,3568,základní,public,Šestajovice 70,551 01,Jaroměř,Náchod,Královéhradecký,, ,, ,, ,2003-11-06,2003-01-07 00:00:00,Čermáková,,,A,, ,,k 20980/2002,
Obec Jezeřany-Maršovice,292931,Jezeřany-Maršovice 1,671 75,Loděnice,Znojmo,Jihomoravský,,obecní úřad,,,Místní knihovna v Jezeřanech-Maršovicích,3569,základní,public,Jezeřany-Maršovice 165,671 75,Loděnice,Znojmo,Jihomoravský,, ,, ,,ZNG511,2003-11-06,2003-01-07 00:00:00,Čermáková,,,A,, ,,k 20979/2002,
Obec Dolní Nivy,259306,Dolní Nivy,357 04,Lomnice,Sokolov,Karlovarský,,obecní úřad,,,Místní knihovna v Dolních Nivách,3570,základní,public,Dolní Nivy,357 04,Lomnice,Sokolov,Karlovarský,, ,, ,, ,2003-11-06,2003-01-07 00:00:00,Čermáková,,,A,, ,,k 20960/2002,
Obec Čikov,376809,Čikov,675 78,Čikov,Třebíč,Vysočina,,obecní úřad,,,Obecní knihovna Čikov,3571,základní,public,Čikov 68,675 78,Čikov,Třebíč,Vysočina,, ,, ,, ,2003-11-06,2003-01-07 00:00:00,Čermáková,,,A,, ,,k 20795/2002,
Střední zdravotnická škola a Vyšší zdravotnická škola,638081,J. Palacha 8,669 33,Znojmo,Znojmo,Jihomoravský,,poskytování středního a vyššího odborného vzdělání,,,Středisko vědeckých informací Střední zdravotnické školy a Vyšší zdravotnické školy,3572,základní se specializovaným knihovním fondem,"SŠ, VOŠ, SŠ a VOŠ, jazykové",J. Palacha 8,669 33,Znojmo,Znojmo,Jihomoravský,, ,, ,, ,2003-11-06,2003-01-08 00:00:00,Čermáková,,,A,, ,,k 21167/2002,
"Ústav fotoniky a elektroniky Akademie věd ČR, v.v.i.",67985882,Chaberská 57,182 51,Praha 8-Kobylisy,Praha,Hlavní město Praha,,vědecký výzkum v oblasti radioelektroniky a fotoniky,,,"Středisko vědeckých informací Ústavu fotoniky a elektroniky AV ČR, v.v.i.",3573,základní se specializovaným knihovním fondem,AV,Chaberská 57,182 51,Praha 8-Kobylisy,Praha,Hlavní město Praha,, ,, ,,ABB050,2003-11-06,2003-01-08 00:00:00,Čermáková,2007-07-20 00:00:00,St. Firstová,A,,,,k 21124/2002,
"Archeologický ústav Akademie věd ČR, v.v.i.",67985912,Letenská 4,118 01,Praha 1-Malá Strana,Praha,Hlavní město Praha,,vědecký výzkum v oblasti archeologie,,,"Knihovna Archeologického ústavu AV ČR, v.v.i.",3574,základní se specializovaným knihovním fondem,AV,Letenská 4,118 01,Praha 1-Malá Strana,Praha,Hlavní město Praha,, ,, ,,ABB001,2003-11-06,2003-01-08 00:00:00,Čermáková,2007-07-20 00:00:00,St. Firstová,A,,,,k 21135/2002,
Uherskohradišťská nemocnice a. s.,27660915,Purkyňova 365,686 68,Uherské Hradiště,Uherské Hradiště,Zlínský,,poskytování zdravotnických služeb,,,Lékařská knihovna Uherskohradišťské nemocnice a. s.,3575,základní se specializovaným knihovním fondem,lékařská,Purkyňova 365,686 68,Uherské Hradiště,Uherské Hradiště,Zlínský,, ,, ,,UHE201,2003-11-06,2003-01-08 00:00:00,Čermáková,2006-02-14 00:00:00,St. Firstová,A,,,,k 21138/2002,
Nemocnice s poliklinikou Rakovník,68331,Dukelských hrdinů 200,269 29,Rakovník,Rakovník,Středočeský,,poskytování zdravotnických služeb,,,Středisko vědeckých informací - Lékařská knihovna Nemocnice s poliklinikou Rakovník,3576,základní se specializovaným knihovním fondem,lékařská,Dukelských hrdinů 200,269 29,Rakovník,Rakovník,Středočeský,, ,, ,,RAE201,2003-11-06,2003-01-08 00:00:00,Čermáková,,,A,, ,,k 21259/2002,
Městská část Praha - Královice,240362,K Nedvězí 66,104 00,Praha 10-Královice,Praha,Hlavní město Praha,,úřad městské části,,,Místní knihovna v Praze - Královicích,3577,základní,public,K Nedvězí 66,104 00,Praha 10-Královice,Praha,Hlavní město Praha,, ,, ,,ABB040,2003-11-06,2003-01-08 00:00:00,Čermáková,,,A,, ,,k 21336/2002,
Městská část Praha - Vinoř,240982,Bohdanečská 97,190 17,Praha-Vinoř,Praha,Hlavní město Praha,,úřad městské části,,,Místní veřejná knihovna Praha - Vinoř,3578,základní,public,Opočínská 364,190 17,Praha-Vinoř,Praha,Hlavní město Praha,, ,, ,,ABG037,2003-11-06,2003-01-08 00:00:00,Čermáková,,,A,, ,,k 21231/2002,
Město Jablonec nad Jizerou,275778,Jablonec nad Jizerou 277,512 43,Jablonec nad Jizerou,Semily,Liberecký,,městský úřad,,,Městská knihovna Jablonec nad Jizerou,3579,základní,public,Jablonec nad Jizerou 291,512 43,Jablonec nad Jizerou,Semily,Liberecký,, ,, ,, ,2003-11-06,2003-01-08 00:00:00,Čermáková,,,A,, ,,k 21129/2002,
"Botanický ústav Akademie věd ČR, v.v.i.",67985939,Zámek 1,252 43,Průhonice,Praha-západ,Středočeský,,vědecký výzkum v oblasti vegetačního krytu,,,"Knihovna Botanického ústavu AV ČR, v.v.i.",3580,základní se specializovaným knihovním fondem,AV,Zámek 1,252 43,Průhonice,Praha-západ,Středočeský,,ibot@ibot.cas.cz,, ,,ABB502,2003-11-06,2003-01-08 00:00:00,Čermáková,2007-08-27 00:00:00,St. Firstová,A,,,,k 21153/2002,
Město Nýřany,258199,Benešova třída 295,330 23,Nýřany,Plzeň-sever,Plzeňský,,městský úřad,,,Městská knihovna Nýřany,3581,základní,public,Nerudova 411,330 23,Nýřany,Plzeň-sever,Plzeňský,, ,, ,,PNG512,2003-11-06,2003-01-08 00:00:00,Čermáková,,,A,, ,,k 21128/2002,
Město Podivín,283495,Masarykovo nám. 180,691 45,Podivín,Břeclav,Jihomoravský,,městský úřad,,,Městská knihovna Podivín,3582,základní,public,Palackého 389/26,691 45,Podivín,Břeclav,Jihomoravský,, ,www.podivinknihovna.webk.cz, ,,BVG509,2003-11-06,2003-01-08 00:00:00,Čermáková,,,A,, ,,k 21093/2002,
Obec Karlovice,275824,Karlovice 12,511 01,Turnov,Semily,Liberecký,,obecní úřad,,,Obecní knihovna v Karlovicích,3583,základní,public,Karlovice 12,511 01,Turnov,Semily,Liberecký,, ,, ,, ,2003-11-06,2003-01-08 00:00:00,Čermáková,,,A,, ,,k 236/2003,
