Nazev provozovatele|B/H - IC provozovatele (u fyzicke osoby pokud bylo prideleno)|C/CH - sidlo/adresa; misto trvaleho pobytu fyz. osoby - ulice|C/CH - sidlo/adresa; misto trvaleho pobytu fyz. osoby - PSC|C/CH - sidlo/adresa; misto trvaleho pobytu fyz. osoby - obec|C/CH - sidlo/adresa; misto trvaleho pobytu fyz. osoby - okres|C/CH - sidlo/adresa; misto trvaleho pobytu fyz. osoby - kraj|C/CH - datova schranka, ma-li ji subjekt zrizenou|D - predmet cinnosti|E - pravni forma|G - datum narozeni provozovatele - fyzicke osoby|I - NAZEV KNIHOVNY|R - EVIDENCNI CISLO KNIHOVNY|J - druh knihovny|Kategorie - pomocny sloupec|K - adresa knihovny: ulice|K - adresa knihovny: PSC|K - adresa knihovny: mesto|K - adresa knihovny: okres|K - adresa knihovny: kraj|M - emailovy kontakt na autora zaznamu|N - e-mailovy kontakt na knihovnu|O - odkaz na webovou stranku knihovny, respektive odkaz na informace o knihovne na webovych strankach provozovatele|P - provozni doba knihovny|Q - dalsi informace|X - sigla|S - datum vytvoreni zaznamu|T - datum evidence knihovny|XXT - schvalovatel zaznamu|U - datum aktualizace zaznamu|XXU - schvalovatel aktualizace zaznamu|aktivni / zrusena (vyrazena z evidence)|V - datum vyrazeni|XXV - vyradil z evidence|W - duvod vyrazeni z evidence|Y - cislo jednaci|Poznamka
Obec Velke Prilepy|241806|Prazska 162|252 64|Velke Prilepy|Praha-zapad|Stredocesky||obecni urad|||Knihovna Velke Prilepy|4308|zakladni|public|Roztocka 129|252 64|Velke Prilepy|Praha-zapad|Stredocesky|| || || |2004-01-07|2003-01-24 00:00:00|Cermakova|25.07.2011, 16.07.2024|M. Fojtik, P. Dolezalova|A|| ||k 22547/2002, MK 38648/2011 SOLK, MK 56947/2024 OUKKO|
Mesto Bucovice|291676|Jiraskova 502|685 01|Bucovice|Vyskov|Jihomoravsky||mestsky urad|||Knihovna Anny Sperkove|4309|zakladni|public|Zahradni 886|685 01|Bucovice|Vyskov|Jihomoravsky|| ||9.00-17.30 (odd. pro dospele), 12.30-17.30 (odd. pro deti) - 12.30-16.00 (odd. pro dospele), 12.30-16.00 (odd. pro deti) - 12.30-16.00 (odd. pro dospele), 12.30-16.00 (odd. pro deti) - 9.00-17.30 (odd. pro dospele), 12.30-16.00 (odd. pro deti) ||VYG001|2004-01-07|2003-01-24 00:00:00|Cermakova|2023-11-20 00:00:00|A. Matousova|A|| ||k 22627/2002, MK 44463/2023|
Obec Radnovice|545422|Radnovice|592 31|Radnovice|Zdar nad Sazavou|Vysocina||obecni urad|||Mistni knihovna v Radnovicich|4310|zakladni|public|Radnovice 54|592 31|Radnovice|Zdar nad Sazavou|Vysocina|| ||16.00-18.00 || |2004-01-07|2003-01-24 00:00:00|Cermakova|||A|| ||k 22668/2002|
Obec Mala Losenice|545171|Mala Losenice 30|592 11|Velka Losenice|Zdar nad Sazavou|Vysocina||obecni urad|||Mistni knihovna v Male Losenici|4311|zakladni|public|Mala Losenice 30|592 11|Velka Losenice|Zdar nad Sazavou|Vysocina|| ||10.00-12.00 || |2004-01-07|2003-01-24 00:00:00|Cermakova|||A|| ||k 22669/2002|
Obec Zlata Koruna|246212|Zlata Koruna|381 01|Zlata Koruna|Cesky Krumlov|Jihocesky||obecni urad|||Obecni knihovna Zlata Koruna|4312|zakladni|public|Zlata Koruna|381 01|Zlata Koruna|Cesky Krumlov|Jihocesky|| || || |2004-01-07|2003-01-24 00:00:00|Cermakova|||A|| ||k 1390/2003|
Obec Prebuz|259543|Prebuz 7|358 01|Kralice|Sokolov|Karlovarsky||obecni urad|||Mistni knihovna Prebuz|4313|zakladni|public|Prebuz 7|358 01|Kralice|Sokolov|Karlovarsky|| || || |2004-01-07|2003-01-24 00:00:00|Cermakova|||A|| ||k 22642/2002|
Obec Myslovice|573442|Myslovice 62|339 01|Klatovy|Klatovy|Plzensky||obecni urad|||Obecni knihovna Myslovice|4314|zakladni|public|Myslovice 62|339 01|Klatovy|Klatovy|Plzensky|| || || |2004-01-07|2003-01-24 00:00:00|Cermakova|||A|| ||k 22579/2002|
Obec Castkov|573779|Castkov|348 01|Castkov|Tachov|Plzensky||obecni urad|||Mistni knihovna Castkov|4315|zakladni|public|Castkov|348 01|Castkov|Tachov|Plzensky|| || || |2004-01-07|2003-01-24 00:00:00|Cermakova|||A|| ||k 22619/2002|
Obec Stare Sedlo|260151|Stare Sedlo|348 04|Bor|Tachov|Plzensky||obecni urad|||Mistni knihovna Stare Sedlo|4316|zakladni|public|Stare Sedlo|348 04|Bor|Tachov|Plzensky|| || || |2004-01-07|2003-01-24 00:00:00|Cermakova|2007-03-05 00:00:00|St. Firstova|A||||k 22618/2002|
Obec Stare Sedliste|260142|Stare Sedliste 359|348 01|Stare Sedliste|Tachov|Plzensky||obecni urad|||Mistni knihovna Stare Sedliste|4317|zakladni|public|Stare Sedliste|348 01|Stare Sedliste|Tachov|Plzensky|| || || |2004-01-07|2003-01-24 00:00:00|Cermakova|||A|| ||k 22609/2002|
Obec Halze|259829|Zdarska 187|348 16|Halze|Tachov|Plzensky||obecni urad|||Mistni knihovna Halze|4318|zakladni|public|Zdarska 187|348 16|Halze|Tachov|Plzensky|| || || |2004-01-07|2003-01-24 00:00:00|Cermakova|||A|| ||k 22617/2002|
Obec Dlouhy Ujezd|573761|Dlouhy Ujezd 170|347 01|Tachov|Tachov|Plzensky||obecni urad|||Mistni knihovna Dlouhy Ujezd|4319|zakladni|public|Dlouhy Ujezd 170|347 01|Tachov|Tachov|Plzensky|| || || |2004-01-07|2003-01-24 00:00:00|Cermakova|||A|| ||k 22616/2002|
Obec Lesna|259969|Lesna 1|347 01|Tachov|Tachov|Plzensky||obecni urad|||Mistni knihovna Lesna|4320|zakladni|public|Lesna 172|347 01|Tachov|Tachov|Plzensky|| || || |2004-01-07|2003-01-24 00:00:00|Cermakova|||V|2024-03-19 00:00:00|P. Dolezalova||k 22615/2002, MK 21847/2024 OUKKO|Vyrazena z evidence, knihovna zrusena
Obec Lom u Tachova|573752|Lom u Tachova 35|347 01|Tachov|Tachov|Plzensky||obecni urad|||Mistni knihovna Lom u Tachova|4321|zakladni|public|Lom u Tachova 35|347 01|Tachov|Tachov|Plzensky|| || || |2004-01-07|2003-01-24 00:00:00|Cermakova|||V|2022-07-14 00:00:00|St. Firstova||k 22614/2002|Vyrazena z evidence, knihovna zrusena
Obec Rozvadov|260126|Rozvadov 10|348 06|Primda|Tachov|Plzensky||obecni urad|||Mistni knihovna Rozvadov|4322|zakladni|public|Rozvadov 10|348 06|Primda|Tachov|Plzensky|| || || |2004-01-07|2003-01-24 00:00:00|Cermakova|||A|| ||k 22612/2002|
Obec Straz|260169|Straz 1|348 05|Straz|Tachov|Plzensky||obecni urad|||Mistni knihovna Straz|4323|zakladni|public|Straz 1|348 05|Straz|Tachov|Plzensky|| || || |2004-01-07|2003-01-24 00:00:00|Cermakova|||A|| ||k 22611/2002|
Obec Tremesne|260274|Tremesne 16|348 06|Primda|Tachov|Plzensky||obecni urad|||Mistni knihovna Tremesne|4324|zakladni|public|Tremesne 16|348 06|Primda|Tachov|Plzensky|| || || |2004-01-07|2003-01-24 00:00:00|Cermakova|||A|| ||k 22668/2002|
Obec Chodsky Ujezd|259870|Chodsky Ujezd 71|348 15|Plana|Tachov|Plzensky||obecni urad|||Mistni knihovna Chodsky Ujezd|4325|zakladni|public|Chodsky Ujezd 71|348 15|Plana|Tachov|Plzensky|| || || |2004-01-07|2003-01-24 00:00:00|Cermakova|||A|| ||k 22604/2002|
Obec Ceska Kubice|253294|Ceska Kubice|345 32|Ceska Kubice|Domazlice|Plzensky||obecni urad|||Mistni knihovna Ceska Kubice|4326|zakladni|public|Ceska Kubice|345 32|Ceska Kubice|Domazlice|Plzensky|| || || |2004-01-07|2003-01-24 00:00:00|Cermakova|||A|| ||k 22566/2002|
Obec Usilov|572535|Usilov 33|345 06|Kdyne|Domazlice|Plzensky||obecni urad|||Mistni knihovna Usilov|4327|zakladni|public|Usilov 33|345 06|Kdyne|Domazlice|Plzensky|| || || |2004-01-07|2003-01-24 00:00:00|Cermakova|||A|| ||k 22564/2002|
Obec Meclov|253553|Meclov 137|345 21|Meclov|Domazlice|Plzensky||obecni urad|||Mistni knihovna Meclov|4328|zakladni|public|Meclov 96|345 21|Meclov|Domazlice|Plzensky|| || || |2004-01-07|2003-01-24 00:00:00|Cermakova|||A|| ||k 22567/2002|
Obec Meclov|253553|Meclov 137|345 21|Meclov|Domazlice|Plzensky||obecni urad|||Mistni knihovna Trebnice|4329|zakladni|public|Trebnice 1|346 01|Horsovsky Tyn|Domazlice|Plzensky|| || || |2004-01-07|2003-01-24 00:00:00|Cermakova|||A|| ||k 22567/2002|
Obec Podevousy|572381|Podevousy|345 61|Podevousy|Domazlice|Plzensky||obecni urad|||Mistni knihovna Podevousy|4330|zakladni|public|Podevousy|345 61|Podevousy|Domazlice|Plzensky|| || || |2004-01-07|2003-01-24 00:00:00|Cermakova|||A|| ||k 22575/2002|
Obec Chrastavice|572641|Chrastavice 28|344 01|Domazlice|Domazlice|Plzensky||obecni urad|||Mistni knihovna Chrastavice|4331|zakladni|public|Chrastavice 28|344 01|Domazlice|Domazlice|Plzensky|| || || |2004-01-07|2003-01-24 00:00:00|Cermakova|||A|| ||k 22576/2002|
Mestys Stechovice|241725|Hlavni 3|252 07|Stechovice|Praha-zapad|Stredocesky||obecni urad|||Knihovna mestyse Stechovice, Multifunkcni centrum|4332|zakladni|public|Vladimira Liszta 393|252 07|Stechovice|Praha-zapad|Stredocesky|| || || |2004-01-07|2003-01-24 00:00:00|Cermakova|2014-09-08 00:00:00|M. Fojtik|A|| ||k 22672/2002|
Mesto Bustehrad|234214|Hrebecska 660|273 43|Bustehrad|Kladno|Stredocesky||mestsky urad|||Mestska knihovna v Bustehrade|4333|zakladni|public|Kladenska 207|273 43|Bustehrad|Kladno|Stredocesky|| || ||KLG506|2004-01-07|2003-01-24 00:00:00|Cermakova|||A|| ||k 2239/2003|
Mesto Planice|255980|Planice 180|340 34|Planice|Klatovy|Plzensky||mestsky urad|||Mestska knihovna Planice|4334|zakladni|public|Planice 180|340 34|Planice|Klatovy|Plzensky|| || ||KTG514|2004-01-07|2003-01-27 00:00:00|Cermakova|||A|| ||k 22767/2002|
Mesto Skutec|270903|Palackeho nam. 133|539 73|Skutec|Chrudim|Pardubicky||mestsky urad|||Mistni knihovna ve Zboznove|4335|zakladni||Zboznov|539 73|Skutec|Chrudim|Pardubicky|| || || |2003-10-17|2003-01-28 00:00:00|Cermakova|||V|2015-11-30 00:00:00|M. Fojtik||k 22793/2002|Vyrazena z evidence, knihovna zrusena
Mesto Planice|255980|Planice 180|340 34|Planice|Klatovy|Plzensky||mestsky urad|||Mistni lidova knihovna ve Stipoklasech|4336|zakladni||Stipoklasy|341 04|Horazdovice|Klatovy|Plzensky|| || ||KTG514|2004-01-07|2003-01-27 00:00:00|Cermakova|||V|2008-12-31 00:00:00|St. Firstova||k 22767/2002|Vyrazena z evidence, knihovna zrusena
Mesto Planice|255980|Planice 180|340 34|Planice|Klatovy|Plzensky||mestsky urad|||Mistni lidova knihovna v Pohori|4337|zakladni||Pohori|340 34|Planice|Klatovy|Plzensky|| || ||KTG514|2004-01-07|2003-01-27 00:00:00|Cermakova|||V|2008-12-31 00:00:00|St. Firstova||k 22767/2002|Vyrazena z evidence, knihovna zrusena
Mesto Planice|255980|Planice 180|340 34|Planice|Klatovy|Plzensky||mestsky urad|||Mistni lidova knihovna v Blizanovech|4338|zakladni||Blizanovy|340 34|Planice|Klatovy|Plzensky|| || ||KTG514|2004-01-07|2003-01-27 00:00:00|Cermakova|||V|2008-12-31 00:00:00|St. Firstova||k 22767/2002|Vyrazena z evidence, knihovna zrusena
Obec Smilovy Hory|252913|Smilovy Hory|391 52|Smilovy Hory|Tabor|Jihocesky||obecni urad|||Obecni knihovna Smilovy Hory|4339|zakladni|public|Smilovy Hory 70|391 52|Smilovy Hory|Tabor|Jihocesky|| || || |2003-01-27|2003-01-27 00:00:00|Cermakova|||A|| ||k 22711/2002|
Obec Prerubenice|639940|Prerubenice 42|270 54|Prerubenice|Rakovnik|Stredocesky||obecni urad|||Obecni knihovna v Prerubenicich|4340|zakladni|public|Prerubenice 42|270 54|Prerubenice|Rakovnik|Stredocesky|| || || |2004-01-07|2003-01-27 00:00:00|Cermakova|||A|| ||k 22713/2002|
Obec Vsemyslice|245666|Neznasov 9|375 01|Tyn nad Vltavou|Ceske Budejovice|Jihocesky||obecni urad|||Obecni knihovna ve Vsemyslicich|4341|zakladni|public|Vsemyslice 27|375 01|Tyn nad Vltavou|Ceske Budejovice|Jihocesky|| || || |2004-01-07|2003-01-27 00:00:00|Cermakova|||A|| ||k 22653/2002|
Obec Vsemyslice|245666|Neznasov 9|375 01|Tyn nad Vltavou|Ceske Budejovice|Jihocesky||obecni urad|||Obecni knihovna ve Vseteci|4342|zakladni|public|Vsetec 9|375 01|Tyn nad Vltavou|Ceske Budejovice|Jihocesky|| || || |2004-01-07|2003-01-27 00:00:00|Cermakova|||A|| ||k 22653/2002|
Obec Vsemyslice|245666|Neznasov 9|375 01|Tyn nad Vltavou|Ceske Budejovice|Jihocesky||obecni urad|||Obecni knihovna v Neznasove|4343|zakladni|public|Neznasov 9|375 01|Tyn nad Vltavou|Ceske Budejovice|Jihocesky|| || || |2004-01-07|2003-01-27 00:00:00|Cermakova|||A|| ||k 22653/2002|
Obec Vsemyslice|245666|Neznasov 9|375 01|Tyn nad Vltavou|Ceske Budejovice|Jihocesky||obecni urad|||Obecni knihovna v Bohunicich|4344|zakladni|public|Bohunice 31|375 01|Tyn nad Vltavou|Ceske Budejovice|Jihocesky|| || || |2004-01-07|2003-01-27 00:00:00|Cermakova|||A|| ||k 22653/2002|
Obec Syrenov|276189|Syrenov 68|512 51|Lomnice nad Popelkou|Semily|Liberecky||obecni urad|||Mistni knihovna v Syrenove|4345|zakladni|public|Syrenov 68|512 51|Lomnice nad Popelkou|Semily|Liberecky|| || || |2004-01-07|2003-01-27 00:00:00|Cermakova|||A|| ||k 22775/2002|
Obec Bystra nad Jizerou|275654|Bystra nad Jizerou|512 05|Bystra nad Jizerou|Semily|Liberecky||obecni urad|||Mistni knihovna v Bystre nad Jizerou|4346|zakladni|public|Bystra nad Jizerou|512 05|Bystra nad Jizerou|Semily|Liberecky|| || || |2004-01-07|2003-01-27 00:00:00|Cermakova|||A|| ||k 22776/2002|
Obec Srbska Kamenice|831387|Srbska Kamenice 54|407 15|Srbska Kamenice|Decin|Ustecky||obecni urad|||Obecni knihovna v Srbske Kamenici|4347|zakladni|public|Srbska Kamenice 54|407 15|Srbska Kamenice|Decin|Ustecky|| || || |2004-01-07|2003-01-27 00:00:00|Cermakova|||A|| ||k 22779/2002|
Obec Strevac|272175|Strevac 49|507 22|Strevac|Jicin|Kralovehradecky||obecni urad|||Mistni lidova knihovna Strevac|4348|zakladni|public|Strevac 49|507 22|Strevac|Jicin|Kralovehradecky|| || || |2004-01-07|2003-01-27 00:00:00|Cermakova|||A|| ||k 22784/2002|
Obec Prelovice|274119|Prelovice 87|533 41|Lazne Bohdanec|Pardubice|Pardubicky||obecni urad|||Obecni knihovna Prelovice|4349|zakladni|public|Prelovice 87|533 41|Lazne Bohdanec|Pardubice|Pardubicky|| || || |2004-01-07|2003-01-27 00:00:00|Cermakova|||A|| ||k 22765/2002|
Obec Borova|654141|Borova|547 01|Nachod|Nachod|Kralovehradecky||obecni urad|||Obecni knihovna Borova|4350|zakladni|public|Borova 32|547 01|Nachod|Nachod|Kralovehradecky|| || || |2004-01-07|2003-01-27 00:00:00|Cermakova|||A|| ||k 22794/2002|
Obec Kosik|239291|Kosik|289 35|Kosik|Nymburk|Stredocesky||obecni urad|||Obecni knihovna v Kosiku|4351|zakladni|public|Kosik 25|289 35|Kosik|Nymburk|Stredocesky|| || || |2004-01-07|2003-01-27 00:00:00|Cermakova|||A|| ||k 22748/2002|
Obec Kosik|239291|Kosik|289 35|Kosik|Nymburk|Stredocesky||obecni urad|||Obecni knihovna v Doubravanech|4352|zakladni|public|Doubravany 81|289 35|Kosik|Nymburk|Stredocesky|| || || |2004-01-07|2003-01-27 00:00:00|Cermakova|2007-10-01 00:00:00|St. Firstova|V|2007-10-01 00:00:00|St. Firstova||k 22748/2002|Vyrazena z evidence, knihovna zrusena
Obec Trebovle|235792|Trebovle 53|281 63|Kostelec nad Cernymi lesy|Kolin|Stredocesky||obecni urad|||Verejna knihovna Myskovice|4353|zakladni|public|Miskovice|280 02|Kolin|Kolin|Stredocesky|| || || |2004-01-07|2003-01-27 00:00:00|Cermakova|||A|| ||k 22754/2002|
Obec Chrenovice|179639|Chrenovice 1|584 01|Ledec nad Sazavou|Havlickuv Brod|Vysocina||obecni urad|||Mistni knihovna v Chrenovicich|4354|zakladni|public|Chrenovice 1|584 01|Ledec nad Sazavou|Havlickuv Brod|Vysocina|| || || |2004-01-07|2003-01-27 00:00:00|Cermakova|||A|| ||k 22757/2002|
Obec Senec|244376|Senec 95|270 36|Lubna u Rakovnika|Rakovnik|Stredocesky||obecni urad|||Obecni knihovna v Senci|4355|zakladni|public|Senec 95|270 36|Lubna u Rakovnika|Rakovnik|Stredocesky|| || || |2003-01-07|2003-01-27 00:00:00|Cermakova|||A|| ||k 22773/2002|
Obec Mnich|248665|Mnich 145|394 92|Mnich|Pelhrimov|Vysocina||obecni urad|||Mistni knihovna v Mnichu|4356|zakladni|public|Mnich 35|394 92|Mnich|Pelhrimov|Vysocina|| || || |2004-01-07|2003-01-27 00:00:00|Cermakova|||A|| ||k 22774/2002|
Obec Louka u Litvinova|266043|Sokolovska 127|435 33|Louka u Litvinova|Most|Ustecky||obecni urad|||Mistni lidova knihovna Louka u Litvinova|4357|zakladni|public|Sokolovska 127|435 33|Louka u Litvinova|Most|Ustecky|| || || |2004-01-07|2003-01-27 00:00:00|Cermakova|||A|| ||k 22519/2002|
Obec Zabori|245691|Zabori|373 84|Dubne|Ceske Budejovice|Jihocesky||obecni urad|||Obecni knihovna v Zabori|4358|zakladni|public|Zabori 22|373 84|Dubne|Ceske Budejovice|Jihocesky|| || || |2004-01-07|2003-01-27 00:00:00|Cermakova|||A|| ||k 22518/2002|
Obec Stara Paka|272132|Revolucni 180|507 91|Stara Paka|Jicin|Kralovehradecky||obecni urad|||Mistni knihovna Stara Paka|4359|zakladni|public|Revolucni 22|507 91|Stara Paka|Jicin|Kralovehradecky|| || ||JCG501|2004-01-07|2003-01-27 00:00:00|Cermakova|||A|| ||k 22527/2002|
Obec Trebetice|544540|Trebetice 51|769 01|Holesov|Kromeriz|Zlinsky||obecni urad|||Obecni knihovna Trebetice|4360|zakladni|public|Trebetice 51|769 01|Holesov|Kromeriz|Zlinsky|| |www.trebetice.knihovna-zlinsko.cz| || |2004-01-07|2003-01-27 00:00:00|Cermakova|||A|| ||k 22555/2002|
Obec Zbraslav|282910|Komenskeho 105|664 84|Zastavka u Brna|Brno-venkov|Jihomoravsky||obecni urad|||Obecni knihovna Zbraslav|4361|zakladni|public|Slapalova 380|664 84|Zastavka u Brna|Brno-venkov|Jihomoravsky||zbraslav@volny.cz|http://www.zbraslavubrna.cz/obecni-knihovna/ms-1138/p1=53| || |2004-01-07|2003-01-27 00:00:00|Cermakova|||A|| ||k 22550/2002|
Obec Mala Roudka|841889|Mala Roudka 27|679 63|Velke Opatovice|Blansko|Jihomoravsky||obecni urad|||Obecni knihovna Mala Roudka|4362|zakladni|public|Mala Roudka 27|679 63|Velke Opatovice|Blansko|Jihomoravsky|| || || |2004-01-22|2003-01-28 00:00:00|Cermakova|||A|| ||k 22684/2002|
Obec Ceske Petrovice|485659|Ceske Petrovice 27|564 01|Zamberk|Usti nad Orlici|Pardubicky||obecni urad|||Obecni knihovna Ceske Petrovice|4363|zakladni|public|Ceske Petrovice 27|564 01|Zamberk|Usti nad Orlici|Pardubicky|| || || |2004-01-22|2003-01-28 00:00:00|Cermakova|||A|| ||k 22687/2002|
Mestske muzeum a galerie Vodnany|72192|nam. Svobody 18|389 01|Vodnany|Strakonice|Jihocesky||uchovani, zpracovani a zpristupnovani sbirek muzejni povahy|||Knihovna Mestskeho muzea a galerie Vodnany|4364|zakladni se specializovanym knihovnim fondem|muzejni|nam. Svobody 18|389 01|Vodnany|Strakonice|Jihocesky|| || || |2004-01-22|2003-01-28 00:00:00|Cermakova|||A|| ||k 22712/2002|
Galerie a muzeum Vysociny Havlickuv Brod|83607|Havlickovo namesti  19|580 01|Havlickuv Brod|Havlickuv Brod|Vysocina||uchovani, zpracovani a zpristupnovani sbirek muzejni povahy|||Knihovna Galerie a muzea Vysociny Havlickuv Brod|4365|zakladni se specializovanym knihovnim fondem|muzejni|Havlickovo namesti 19|580 01|Havlickuv Brod|Havlickuv Brod|Vysocina|| || || |2004-01-22|2003-01-28 00:00:00|Cermakova|29.11.2007, 20.01.2025|St. Firstova, P. Dolezalova|A||||k 22756/2002, MK 6924/2025 OUKKO|Slouceni dvou organizaci, knihovna spojena s 4779/2003, zmena nazvu provozovatele
Ustav dejin umeni Akademie ved CR, v.v.i.|68378033|Husova 4|110 00|Praha 1|Praha|Hlavni mesto Praha||vedecky vyzkum v oblasti teorie a dejin vytvarneho umeni, estetiky, dejin a teorie architektury, historickeho urbanismu a pamatkove pece|||Knihovna Ustavu dejin umeni AV CR, v.v.i.|4366|zakladni se specializovanym knihovnim fondem|AV|Husova 4|110 00|Praha 1|Praha|Hlavni mesto Praha||adamczykova@udu.cas.cz|| ||ABB048|2004-01-22|2003-01-28 00:00:00|Cermakova|2007-09-10 00:00:00|St. Firstova|A||||k 22691/2002|
Vsetinska nemocnice, a.s.|26871068|Nemocnicni 955|755 32|Vsetin|Vsetin|Zlinsky||poskytovani zdravotnicke pece|||Knihovna Vsetinske nemocnice a.s.|4367|zakladni se specializovanym knihovnim fondem|lekarska|Nemocnicni 955|755 32|Vsetin|Vsetin|Zlinsky|| || ||VSE201|2004-01-22|2003-01-28 00:00:00|Cermakova|||A||||k 22546/2002|
Fakultni nemocnice Olomouc|98892|I. P. Pavlova 6|775 20|Olomouc|Olomouc|Olomoucky||poskytovani zdravotnicke pece|||Knihovna Fakultni nemocnice Olomouc|4368|zakladni se specializovanym knihovnim fondem|lekarska|Hnevotinska 3|775 03|Olomouc|Olomouc|Olomoucky|| || ||OLD002|2004-01-22|2003-01-28 00:00:00|Cermakova|||A|| ||k 223/2003|
UJV Rez, a.s., Husinec - Rez a Ustav jaderne fyziky Akademie ved CR, v.v.i.|61389005|Rez|250 68|Rez|Praha-vychod|Stredocesky||vedecky vyzkum oblasti jaderne fyziky|||Spolecna knihovna UJV Rez, a.s. a Ustavu jaderne fyziky AV CR, v.v.i.|4369|zakladni se specializovanym knihovnim fondem|AV|Husinec-Rez 130|250 68|Husinec-Rez|Praha-vychod|Stredocesky|| || ||ABC121|2004-01-22|2003-01-28 00:00:00|Cermakova|2007-09-10 00:00:00|St. Firstova|A||||k 22758/2002|
Vysoke uceni technicke v Brne|216305|Antoninska 548/1|601 90|Brno|Brno-mesto|Jihomoravsky||vzdelavaci a vedecko-vyzkumna cinnost|||Knihovna Vysokeho uceni technickeho v Brne|4370|zakladni se specializovanym knihovnim fondem|VS|Antoninska 548/1|601 90|Brno|Brno-mesto|Jihomoravsky|| || ||BOD009|2004-01-22|2003-01-28 00:00:00|Cermakova|||A|| ||k 22708/2002|
Mestska cast Praha 18|231321|Bechynska 639|199 00|Praha-Letnany|Praha|Hlavni mesto Praha||urad mestske casti|||Knihovna Vaclava Sorela|4371|zakladni|public|Rychnovska 651|199 00|Praha 18 - Letnany|Praha 18|Hlavni mesto Praha|| || ||ABG019|2004-01-22|2003-01-28 00:00:00|Cermakova|2022-06-27 00:00:00|St. Firstova|A|| ||k 22545/2002|
Mestska cast Praha 19|231304|Semilska 43/1|197 04|Praha 9-Kbely|Praha|Hlavni mesto Praha||urad mestske casti|||Mistni knihovna v Praze - Kbelich|4372|zakladni|public|Semilska 43|197 04|Praha 9-Kbely|Praha|Hlavni mesto Praha|| || ||ABG017|2004-01-22|2003-01-28 00:00:00|Cermakova|2005-06-03 00:00:00|St. Firstova|A||||k 22558/2002|
Mesto Rousinov|292281|Susilovo nam. 56|683 01|Rousinov|Vyskov|Jihomoravsky||mestsky urad|||Mestska knihovna Rousinov|4373|zakladni|public|Susilovo nam. 56|683 01|Rousinov|Vyskov|Jihomoravsky|| ||9.00-12.00, 13.00-17.00 - 9.00-12.00, 13.00-17.00 - 9.00-12.00, 13.00-18.00 ||VYG502|2004-01-22|2003-01-28 00:00:00|Cermakova|||A|| ||k 22549/2002|
Mesto Cernosice|241121|Karlstejnska 259|252 28|Cernosice|Praha-zapad|Stredocesky||mestsky urad|||Mestska knihovna Frantisky Plaminkove v Cernosicich|4374|zakladni|public|Karlstejnska 259|252 28|Cernosice|Praha-zapad|Stredocesky|| || ||ABG515|2004-01-22|2003-01-28 00:00:00|Cermakova|2024-05-17 00:00:00|P. Dolezalova|A|| ||k 22559/2002, MK 43878/2024 OUKKO|
Mesto Nyrsko|255921|Namesti 122|340 22|Nyrsko|Klatovy|Plzensky||mestsky urad|||Mistni lidova knihovna Bystrice nad Uhlavou|4375|zakladni||Bystrice nad Uhlavou 14|340 22|Nyrsko|Klatovy|Plzensky|| || || |2004-01-22|2003-01-28 00:00:00|Cermakova|||V|2005-04-01 00:00:00|St. Firstova||k 22532/2002|
Obec Mcely|239411|Mcely 51|289 36|Mcely|Nymburk|Stredocesky||obecni urad|||Obecni lidova knihovna ve Mcelich|4376|zakladni|public|Mcely 51|289 36|Mcely|Nymburk|Stredocesky|| || || |2004-01-22|2003-01-28 00:00:00|Cermakova|||A|| ||k 22693/2002|
Obec Hvezdonice|237819|Hvezdonice|257 24|Chocerady|Benesov|Stredocesky||obecni urad|||Obecni knihovna ve Hvezdonicich|4377|zakladni|public|Hvezdonice 56|257 24|Chocerady|Benesov|Stredocesky|| || || |2004-01-22|2003-01-28 00:00:00|Cermakova|||V|2017-10-12 00:00:00|Z. Svastova||k 22548/2002|
Obec Velke Heraltice|300837|Opavska 142|747 75|Velke Heraltice|Opava|Moravskoslezsky||obecni urad|||Obecni knihovna ve Velkych Heralticich|4378|zakladni|public|Opavska 148|747 75|Velke Heraltice|Opava|Moravskoslezsky|| ||14.00-17.00 || |2004-01-22|2003-01-28 00:00:00|Cermakova|2008-11-03 00:00:00|St. Firstova|A||||k 22553/2002|
Obec Velke Heraltice|300837|Opavska 142|747 75|Velke Heraltice|Opava|Moravskoslezsky||obecni urad|||Obecni knihovna v Malych Heralticich|4379|zakladni|public|Male Heraltice|747 75|Velke Heraltice|Opava|Moravskoslezsky|| ||16.00-18.00 || |2004-01-22|2003-01-28 00:00:00|Cermakova|||V|2008-09-30 00:00:00|St. Firstova||k 22553/2002|
Obec Velke Heraltice|300837|Opavska 142|747 75|Velke Heraltice|Opava|Moravskoslezsky||obecni urad|||Obecni knihovna v Sadku|4380|zakladni|public|Sadek 10|747 75|Velke Heraltice|Opava|Moravskoslezsky|| ||18.00-20.00 || |2004-01-22|2003-01-28 00:00:00|Cermakova|||V|2008-09-30 00:00:00|St. Firstova||k 22553/2002|
Obec Velke Heraltice|300837|Opavska 142|747 75|Velke Heraltice|Opava|Moravskoslezsky||obecni urad|||Obecni knihovna v Koseticich|4381|zakladni|public|Kosetice 19|747 75|Velke Heraltice|Opava|Moravskoslezsky|| ||16.00-18.00 || |2004-01-22|2003-01-28 00:00:00|Cermakova|||V|2008-09-30 00:00:00|St. Firstova||k 22553/2002|
